# name RA(deg) Dec(deg) r_petro r_auto z_tonry z_spec M_r r_e(arcsec) <mu(re)>(mag/arcsec^2) mu(re)(mag/arcsec^2) mu(2re)(mag/arcsec^2) ellip PA(deg) log(M*/Msol) g-i A_g CATAID SURV_SAMI tile blue_cube red_cube
J091858.14+013352.8 139.74228090 1.56468554 17.745 17.719 0.03843 0.03732 -18.43 2.03 21.12 21.95 23.69 0.1813 138.50 9.05 0.59 0.120 377962 8 Y13SAR1_P003_09T006 http://sami-survey.org/edr/data/377962/377962_blue_7_Y13SAR1_P003_09T006.fits.gz http://sami-survey.org/edr/data/377962/377962_red_7_Y13SAR1_P003_09T006.fits.gz
J091904.16+011045.7 139.76734716 1.17936637 16.353 16.342 0.09033 0.08916 -21.87 3.85 20.77 22.03 23.62 0.3051 147.22 10.97 1.41 0.086 373173 8 Y13SAR1_P003_09T006 http://sami-survey.org/edr/data/373173/373173_blue_7_Y13SAR1_P003_09T006.fits.gz http://sami-survey.org/edr/data/373173/373173_red_7_Y13SAR1_P003_09T006.fits.gz
J091906.31+004039.4 139.77630112 0.67763715 16.446 16.207 0.01872 0.01780 -18.38 2.55 23.05 23.92 25.63 0.4201 147.40 9.31 0.88 0.120 623641 8 Y13SAR1_P009_09T015 http://sami-survey.org/edr/data/623641/623641_blue_7_Y13SAR1_P009_09T015.fits.gz http://sami-survey.org/edr/data/623641/623641_red_7_Y13SAR1_P009_09T015.fits.gz
J091910.39+010319.6 139.79332232 1.05546284 17.565 17.590 0.01918 0.01827 -17.03 3.54 21.92 22.83 24.53 0.2987 67.49 8.82 0.97 0.095 279886 8 Y13SAR1_P003_09T006 http://sami-survey.org/edr/data/279886/279886_blue_7_Y13SAR1_P003_09T006.fits.gz http://sami-survey.org/edr/data/279886/279886_red_7_Y13SAR1_P003_09T006.fits.gz
J091916.35+010210.6 139.81814651 1.03629872 15.491 15.444 0.08851 0.08734 -22.70 4.39 20.57 21.96 23.54 0.0575 155.12 11.26 1.33 0.095 279878 8 Y13SAR1_P009_09T015 http://sami-survey.org/edr/data/279878/279878_blue_7_Y13SAR1_P009_09T015.fits.gz http://sami-survey.org/edr/data/279878/279878_red_7_Y13SAR1_P009_09T015.fits.gz
J091942.13+011933.0 139.92557866 1.32583201 16.275 16.280 0.01748 0.01654 -18.10 6.68 21.49 21.98 24.05 0.5926 32.46 9.26 0.98 0.093 373202 8 Y13SAR1_P003_09T006 http://sami-survey.org/edr/data/373202/373202_blue_7_Y13SAR1_P003_09T006.fits.gz http://sami-survey.org/edr/data/373202/373202_red_7_Y13SAR1_P003_09T006.fits.gz
J091955.94+003828.6 139.98309553 0.64128869 16.604 16.501 0.05755 0.05641 -20.60 6.08 21.01 21.67 23.53 0.7647 13.92 10.23 1.00 0.120 623679 8 Y13SAR1_P009_09T015 http://sami-survey.org/edr/data/623679/623679_blue_7_Y13SAR1_P009_09T015.fits.gz http://sami-survey.org/edr/data/623679/623679_red_7_Y13SAR1_P009_09T015.fits.gz
J091957.77+005044.1 139.99074404 0.84559286 17.456 16.954 0.01808 0.01714 -17.50 8.50 23.68 24.52 26.26 0.2437 161.44 8.92 0.85 0.119 218717 8 Y13SAR1_P003_09T006 http://sami-survey.org/edr/data/218717/218717_blue_7_Y13SAR1_P003_09T006.fits.gz http://sami-survey.org/edr/data/218717/218717_red_7_Y13SAR1_P003_09T006.fits.gz
J091958.88+005739.0 139.99533336 0.96083571 15.536 15.538 0.01884 0.01792 -19.02 9.78 22.03 22.98 24.66 0.4383 55.47 9.32 0.60 0.103 279917 8 Y13SAR1_P003_09T006 http://sami-survey.org/edr/data/279917/279917_blue_7_Y13SAR1_P003_09T006.fits.gz http://sami-survey.org/edr/data/279917/279917_red_7_Y13SAR1_P003_09T006.fits.gz
J092002.40+005039.1 140.01000240 0.84420718 17.454 17.437 0.05962 0.05848 -19.77 1.76 19.63 20.82 22.43 0.6181 136.68 10.03 1.18 0.119 218713 8 Y13SAR1_P009_09T015 http://sami-survey.org/edr/data/218713/218713_blue_7_Y13SAR1_P009_09T015.fits.gz http://sami-survey.org/edr/data/218713/218713_red_7_Y13SAR1_P009_09T015.fits.gz
J092012.55+010908.3 140.05232860 1.15231833 18.143 18.190 0.01793 0.01699 -16.27 3.50 22.90 23.79 25.50 0.0515 86.70 8.53 0.97 0.107 373248 8 Y13SAR1_P003_09T006 http://sami-survey.org/edr/data/373248/373248_blue_7_Y13SAR1_P003_09T006.fits.gz http://sami-survey.org/edr/data/373248/373248_red_7_Y13SAR1_P003_09T006.fits.gz
