AGCNr,Name,HIra,HIdec,OCra,OCdec,v21,w50,werr,flux,fluxerr,snratio,rms,dist,loghimass,detcode
  5272,"152-072 ", 147.595001,  31.485834, 147.592911,  31.487778,  520, 80,  2, 16.65,0.06,185.9, 2.23,   7.1, 8.30,1
  5275,"N3024   ", 147.602493,  12.775000, 147.613342,  12.765278, 1419,245,  3, 31.52,0.09,203.9, 2.21,  22.8, 9.59,1
191881,"        ", 147.673752,   8.719999, 147.676666,   8.731667, 2827,124,  7,  1.03,0.07,  8.4, 2.45,  43.3, 8.66,1
  5279,"N3026   ", 147.728745,  28.551111, 147.730408,  28.550833, 1484,213,  2, 11.70,0.07, 93.4, 1.91,  23.6, 9.19,1
  5280,"N3021   ", 147.738327,  33.551388, 147.739166,  33.553886, 1537,247,  7, 15.06,0.09, 99.4, 2.15,  28.6, 9.46,1
  5282,"M+622020", 147.792084,  33.128056, 147.792511,  33.130833, 1564,104,  4,  2.03,0.05, 24.6, 1.80,  22.2, 8.37,1
  5288,"035-069 ", 147.822510,   7.820833, 147.820847,   7.828333,  557, 93,  2, 22.09,0.07,199.6, 2.55,  11.4, 8.83,1
  5287,"182-026 ", 147.869171,  32.935833, 147.867508,  32.942780, 1470,142,  2,  4.64,0.07, 38.5, 2.26,  31.8, 9.04,1
190551,"063-087 ", 147.915421,  14.037500, 147.918747,  14.037778, 2883,129,  6,  1.30,0.07, 11.3, 2.26,  44.0, 8.77,1
193721,"        ", 147.916672,   0.372778, 147.911255,   0.369444, 1900, 63,  3,  2.08,0.06, 20.3, 2.86,  29.5, 8.63,1
198558,"        ", 147.925430,  20.374445, 147.922089,  20.374445, 2705, 71,  4,  1.37,0.05, 18.0, 2.02,  41.2, 8.74,1
190553,"DDO 65  ", 147.932510,   1.451111, 147.933762,   1.448611, 1847, 80,  2,  6.41,0.07, 56.7, 2.80,  28.8, 9.10,1
  5292,"N3032   ", 148.036667,  29.238333, 148.034164,  29.235834, 1543,123, 21,  1.18,0.09, 10.1, 2.36,  21.9, 8.12,1
198520,"        ", 148.118744,   0.986944, 148.116241,   0.978056, 2977,144,  4,  2.37,0.10, 12.5, 3.53,  45.5, 9.06,1
191885,"        ", 148.133347,   8.196389, 148.146255,   8.199166, 2711,135,  6,  1.61,0.09, 11.4, 2.70,  41.6, 8.82,1
190869,"        ", 148.180832,  29.358334, 148.174576,  29.361389, 1459, 96,  4,  1.45,0.06, 14.8, 2.22,  23.2, 8.27,1
190561,"KK 79   ", 148.242081,  29.307222, 148.238342,  29.310278, 1651, 79,  7,  1.65,0.06, 19.3, 2.14,  26.0, 8.42,1
191817,"F709-9  ", 148.247513,   8.029166, 148.244598,   8.028055, 2641,124,  2,  4.12,0.05, 46.0, 1.79,  40.6, 9.20,1
191818,"F709-10 ", 148.251678,   7.781389, 148.259171,   7.789722, 2595, 25,  7,  0.36,0.04,  6.8, 2.25,  39.9, 8.13,1
  5303,"N3041   ", 148.278336,  16.684999, 148.279999,  16.677221, 1411,276,  2, 17.57,0.09,112.8, 2.09,  25.1, 9.42,1
198582,"HIdetHVC", 148.411667,  29.221945,   0.000000,   0.000000,  -99, 10,  0, 27.33,0.04,256.7, 5.13,   0.0, 0.00,9
  5311,"N3044   ", 148.425842,   1.578056, 148.420410,   1.579167, 1290,320,  2, 50.00,0.14,204.6, 3.05,  20.2, 9.68,1
194098,"        ", 148.438751,  33.171947, 148.438324,  33.164448, 1538, 87, 13,  0.58,0.04,  7.9, 1.75,  24.3, 7.91,1
193362,"        ", 148.491257,   2.008611, 148.496658,   2.004722, 1753, 33,  2,  1.78,0.05, 24.2, 2.77,  27.4, 8.50,1
193363,"        ", 148.497498,   2.874722, 148.497498,   2.869167, 1746, 87,  2,  1.47,0.06, 13.3, 2.65,  27.4, 8.41,1
739108,"        ", 148.510818,  20.789444, 148.521667,  20.779444, 2059, 51, 16,  0.32,0.04,  4.5, 2.17,  32.0, 7.89,2
191795,"        ", 148.619568,   1.934445, 148.616669,   1.930278, 1811,110,  5,  5.98,0.08, 44.8, 2.83,  28.3, 9.05,1
192423,"        ", 148.630417,   9.854723, 148.627075,   9.870000, 1488, 40, 16,  0.47,0.05,  7.2, 2.24,  23.8, 7.80,1
194099,"        ", 148.632080,  32.059166, 148.625000,  32.061665, 1421, 87, 16,  0.44,0.05,  4.4, 2.34,  22.6, 7.73,2
192959,"        ", 148.644989,   4.380834, 148.648743,   4.385555, 1774, 77,  3,  1.05,0.05, 12.5, 2.11,  27.8, 8.28,1
193548,"        ", 148.685425,   1.626944, 148.687485,   1.609444, 1953,100,  7,  0.79,0.07,  6.7, 2.64,  30.3, 8.23,1
  5325,"N3049   ", 148.708328,   9.271667, 148.707077,   9.271111, 1497,203,  2, 13.59,0.10, 80.0, 2.66,  19.3, 9.08,1
198533,"HIdetHVC", 148.819580,   1.041944,   0.000000,   0.000000,  157, 20,  0, 16.57,0.12, 62.7,11.80,   0.0, 0.00,9
  5328,"N3055   ", 148.824585,   4.270556, 148.825012,   4.270000, 1821,266,  2, 12.31,0.09, 74.2, 2.27,  27.4, 9.34,1
  5326,"182-035 ", 148.854584,  33.260834, 148.852921,  33.262779, 1412,102,  2,  4.45,0.05, 52.8, 1.85,  22.5, 8.73,1
190600,"063-105 ", 148.876678,   8.386666, 148.873764,   8.390833, 1281,101,  5,  3.15,0.08, 25.3, 2.75,  20.7, 8.50,1
192960,"        ", 148.908752,   4.480000, 148.907501,   4.476667, 1942, 61,  9,  0.82,0.06,  9.2, 2.51,  30.3, 8.25,1
  5332,"M+326001", 148.949585,  16.415556, 148.951248,  16.413889,  797, 62,  2,  4.01,0.04, 58.9, 1.91,  12.3, 8.16,1
  5335,"I2520   ", 149.082077,  27.232500, 149.085007,  27.227501, 1243,157,  7,  8.90,0.08, 72.5, 2.18,  20.2, 8.93,1
749303,"        ", 149.133759,  27.282499, 149.138336,  27.280277, 1074, 49,  7,  1.20,0.05, 17.0, 2.22,  17.5, 7.94,1
198583,"HIdet   ", 149.172501,  29.010555,   0.000000,   0.000000,  501, 31,  3,  1.20,0.04, 24.4, 1.92,   7.2, 7.17,1
  5340,"153-005 ", 149.195419,  28.825556, 149.191666,  28.825834,  507, 88,  2, 25.01,0.05,320.3, 1.85,   5.9, 8.31,1
198534,"HIdetHVC", 149.268341,   0.508056,   0.000000,   0.000000,  151, 24,  0, 34.48,0.13,131.0,11.32,   0.0, 0.00,9
198584,"HIdetHVC", 149.296249,  29.226946,   0.000000,   0.000000,  121, 17,  0,  2.27,0.05, 24.4, 4.66,   0.0, 0.00,9
  5347,"036-008 ", 149.316666,   4.523333, 149.318741,   4.528055, 2153,211,  3,  6.24,0.09, 39.7, 2.41,  39.3, 9.36,1
198437,"        ", 149.344162,   5.658333, 149.349167,   5.661111, 2168, 72,  7,  1.48,0.07, 15.9, 2.43,  33.6, 8.60,1
731430,"        ", 149.375824,  27.762222, 149.372498,  27.756666, 1184, 33,  9,  0.41,0.04,  7.4, 2.09,  19.3, 7.56,1
190619,"I2524   ", 149.385818,  33.616386, 149.386673,  33.619720, 1464,176,  5,  4.43,0.07, 34.5, 2.16,  23.2, 8.75,1
749304,"        ", 149.389999,  25.939999, 149.383331,  25.939165, 1944, 64,  9,  0.62,0.05,  8.4, 2.03,  30.2, 8.13,1
198535,"HIdetHVC", 149.553329,   1.119722,   0.000000,   0.000000,  165, 25,  1,  4.35,0.14, 14.6,12.09,   0.0, 0.00,9
718245,"        ", 149.567078,  21.087223, 149.567505,  21.088890,  651, 15,  3,  0.48,0.03, 10.8, 2.32,   9.6, 7.01,1
  5351,"N3067   ", 149.599579,  32.365276, 149.587494,  32.369999, 1467,277,  4,  6.77,0.13, 28.6, 3.18,  23.3, 8.94,1
191796,"LSBC    ", 149.622910,   1.697778, 149.620834,   1.694445, 1815,115,  4,  6.00,0.07, 46.7, 2.67,  28.3, 9.05,1
191629,"        ", 149.625412,   0.039444, 149.626251,   0.045000, 1897, 67,  9,  0.52,0.06,  4.9, 2.85,  29.4, 8.03,2
  5358,"064-014 ", 149.694565,  11.390833, 149.696243,  11.388056, 2913,203,  2,  6.61,0.09, 33.7, 2.61,  44.5, 9.49,1
193373,"        ", 149.697906,   2.351111, 149.694992,   2.347222, 1727,109,  3,  1.82,0.07, 14.7, 2.64,  27.1, 8.50,1
198712,"rgmph   ", 149.792511,  36.039165, 149.792923,  36.039722,  550, 36,  5,  0.51,0.04,  8.7, 2.13,   8.3, 6.92,1
  5364,"Leo A   ", 149.852921,  30.743334, 149.859589,  30.746111,   23, 19,  2, 51.37,0.06,794.2, 3.07,   0.8, 6.89,1
198536,"HIdetHVC", 149.924164,   0.615833,   0.000000,   0.000000,  153, 15,  0,  4.28,0.05, 45.6, 5.02,   0.0, 0.00,9
  5373,"SEX B   ", 149.998749,   5.331111, 150.000000,   5.332222,  300, 37,  2, 77.02,0.07,964.0, 2.88,   1.4, 7.57,1
205097,"        ", 150.006256,  15.770833, 150.010834,  15.768611, 2326, 73,  8,  0.54,0.05,  6.6, 2.12,  35.9, 8.22,1
